Instance,#Args,#Attacks,AVG DEG,MED DEG,AVG IN,MED IN,AVG OUT,MED OUT
339645__291__1_1_2__1421992937.tgf,291,4141,28.460481099656356,28.0,14.230240549828178,14.0,14.230240549828178,14.0
1688016__289__2_2_3__1711063037.tgf,289,4161,28.79584775086505,30.0,14.397923875432525,15.0,14.397923875432525,14.0
320028__276__2_2_3__165094759.tgf,276,2619,18.97826086956522,20.0,9.48913043478261,10.0,9.48913043478261,9.0
47774__262__0_1_1__1705874969.tgf,262,3765,28.740458015267176,30.0,14.370229007633588,15.0,14.370229007633588,14.0
1539728__299__3_3_4__1479392692.tgf,299,4248,28.414715719063544,28.0,14.207357859531772,14.0,14.207357859531772,14.0
7648195__290__4_4_5__217211397.tgf,290,4164,28.717241379310344,29.0,14.358620689655172,14.5,14.358620689655172,14.0
51123__246__0_1_1__1607395923.tgf,246,3541,28.788617886178862,30.0,14.394308943089431,15.0,14.394308943089431,14.0
857884__293__1_1_2__851168499.tgf,293,4271,29.15358361774744,30.0,14.57679180887372,15.0,14.57679180887372,14.0
291227__286__0_1_1__1230142271.tgf,286,2807,19.62937062937063,20.0,9.814685314685315,10.0,9.814685314685315,9.0
282426__202__12_12_159__1378687018.tgf,202,507,5.01980198019802,6.0,2.50990099009901,3.0,2.50990099009901,2.0
54571__259__7_7_11__929860717.tgf,259,2468,19.057915057915057,20.0,9.528957528957529,10.0,9.528957528957529,9.0
44051__300__0_1_1__1566404531.tgf,300,2871,19.14,20.0,9.57,10.0,9.57,9.0
33993__232__4_4_6__1980143471.tgf,232,3337,28.767241379310345,30.0,14.383620689655173,15.0,14.383620689655173,14.0
510532__292__3_3_5__771820926.tgf,292,2841,19.458904109589042,20.0,9.729452054794521,10.0,9.729452054794521,10.0
689751__162__2_2_3__207723927.tgf,162,2184,26.962962962962962,28.0,13.481481481481481,14.0,13.481481481481481,13.0
247483__277__0_1_1__505287041.tgf,277,3998,28.866425992779785,30.0,14.433212996389893,15.0,14.433212996389893,14.0
g_8978008__5013__1_1_1__2005674269.tgf,5013,251214,100.22501496110114,100.0,50.11250748055057,50.0,50.11250748055057,50.0
g_15761268__7521__1_1_1__1253564987.tgf,7521,566615,150.67544209546602,150.0,75.33772104773301,75.0,75.33772104773301,75.0
g_11576075__7191__1_1_1__82730612.tgf,7191,516557,143.66764010568767,142.0,71.83382005284383,71.0,71.83382005284383,72.0
g_26874200__8393__1_1_1__629297877.tgf,8393,705586,168.1367806505421,168.0,84.06839032527105,84.0,84.06839032527105,84.0
g_15806306__8366__1_1_1__694814714.tgf,8366,699105,167.13005020320344,166.0,83.56502510160172,83.0,83.56502510160172,83.0
g_17299814__7318__1_1_1__208051347.tgf,7318,536495,146.62339437004647,146.0,73.31169718502323,73.0,73.31169718502323,73.0
g_41618307__6518__1_1_1__656262855.tgf,6518,424426,130.2319729978521,130.0,65.11598649892605,65.0,65.11598649892605,65.0
g_41634197__8548__1_1_1__27153038.tgf,8548,731576,171.1689284043051,170.0,85.58446420215255,85.0,85.58446420215255,84.0
g_26366506__7746__1_1_1__701580298.tgf,7746,600780,155.12006196746708,154.0,77.56003098373354,77.0,77.56003098373354,77.0
g_15405159__8402__1_1_1__277006789.tgf,8402,705609,167.96215186860272,166.0,83.98107593430136,83.0,83.98107593430136,83.0
g_36072150__6499__1_1_1__1197674094.tgf,6499,422526,130.02800430835512,130.0,65.01400215417756,65.0,65.01400215417756,65.0
g_11722506__4872__1_1_1__1996514246.tgf,4872,236573,97.11535303776684,98.0,48.55767651888342,49.0,48.55767651888342,48.0
g_39785649__9360__1_1_1__860776055.tgf,9360,876229,187.2284188034188,186.0,93.6142094017094,93.0,93.6142094017094,92.0
g_14698925__6977__1_1_1__635433139.tgf,6977,485319,139.11967894510533,138.0,69.55983947255267,69.0,69.55983947255267,69.0
g_20166647__5593__1_1_1__1850025606.tgf,5593,313999,112.28285356695869,112.0,56.141426783479346,56.0,56.141426783479346,56.0
g_15283768__7242__1_1_1__1057905053.tgf,7242,525433,145.10715272024302,144.0,72.55357636012151,72.0,72.55357636012151,72.0
g_13686942__7861__1_1_1__885986521.tgf,7861,618631,157.39244370945173,156.0,78.69622185472586,78.0,78.69622185472586,78.0
g_35415567__9473__1_1_1__1862760027.tgf,9473,897131,189.40800168901086,190.0,94.70400084450543,95.0,94.70400084450543,94.0
g_11687398__6961__1_1_1__818925919.tgf,6961,484827,139.29808935497772,138.0,69.64904467748886,69.0,69.64904467748886,69.0
g_40158174__6958__1_1_1__209171335.tgf,6958,484397,139.2345501580914,138.0,69.6172750790457,69.0,69.6172750790457,70.0
g_11608515__6142__1_1_1__859624173.tgf,6142,376837,122.70823835884077,122.0,61.35411917942039,61.0,61.35411917942039,61.0
g_15792991__7833__1_1_1__1804928876.tgf,7833,615188,157.07596067917783,156.0,78.53798033958891,78.0,78.53798033958891,77.0
g_26415883__5774__1_1_1__1569596511.tgf,5774,333305,115.45029442327676,114.0,57.72514721163838,57.0,57.72514721163838,57.0
g_8881847__6219__1_1_1__1502451786.tgf,6219,387071,124.48014150184918,124.0,62.24007075092459,62.0,62.24007075092459,61.0
1758658__795_42__0_2_7__-1202098545.tgf,795,17074,42.953459119496856,40.0,21.476729559748428,20.0,21.476729559748428,20.0
2912543__960_42__0_1_2__1906904342.tgf,960,22977,47.86875,46.0,23.934375,23.0,23.934375,23.0
1627996__755_46__0_3_12__1893213173.tgf,755,15386,40.75761589403974,38.0,20.37880794701987,19.0,20.37880794701987,19.0
6319065__992_3__0_1_2__897035661.tgf,992,186509,376.02620967741933,362.0,188.01310483870967,181.0,188.01310483870967,190.0
19040260__507_416__16_16_90__-575628667.tgf,507,4103,16.185404339250493,16.0,8.092702169625246,8.0,8.092702169625246,1.0
6512808__964_852__8_8_54__1356115866.tgf,964,4406,9.141078838174273,8.0,4.570539419087137,4.0,4.570539419087137,1.0
20655198__374_290__44_44_495__-1683228409.tgf,374,1525,8.155080213903743,8.0,4.077540106951871,4.0,4.077540106951871,1.0
2192374__868_42__0_2_6__197381139.tgf,868,20942,48.25345622119816,46.0,24.12672811059908,23.0,24.12672811059908,24.0
2359690__847_47__0_1_1__-258502807.tgf,847,17933,42.34474616292798,42.0,21.17237308146399,21.0,21.17237308146399,20.0
2721694__940_26__0_1_1__-760920955.tgf,940,30277,64.41914893617022,62.0,32.20957446808511,31.0,32.20957446808511,32.0
1818982__769_48__0_4_190__1676631657.tgf,769,14840,38.595578673602084,36.0,19.297789336801042,18.0,19.297789336801042,18.0
1879197__595_301__192_192_5274__794362872.tgf,595,2772,9.31764705882353,8.0,4.658823529411765,4.0,4.658823529411765,2.0
1753793__671_617__4_4_18__-1363490400.tgf,671,2783,8.295081967213115,8.0,4.147540983606557,4.0,4.147540983606557,1.0
3003520__935_5__0_1_1__-1788351828.tgf,935,109390,233.98930481283423,212.0,116.99465240641712,106.0,116.99465240641712,117.0
1828893__778_49__0_1_6__365380386.tgf,778,15656,40.246786632390744,38.0,20.123393316195372,19.0,20.123393316195372,19.0
14974572__457_345__0_20_222__-780398811.tgf,457,1126,4.927789934354486,4.0,2.463894967177243,2.0,2.463894967177243,1.0
2989651__481_1__0_1_1__490287363.tgf,481,115517,480.3201663201663,480.0,240.16008316008316,240.0,240.16008316008316,240.0
3051610__939_31__0_1_2__-525845145.tgf,939,27111,57.7444089456869,56.0,28.87220447284345,28.0,28.87220447284345,28.0
10999075__461_395__24_24_324__237573662.tgf,461,1361,5.9045553145336225,6.0,2.9522776572668112,3.0,2.9522776572668112,1.0
2195931__853_18__0_1_1__-668245284.tgf,853,33937,79.57092614302462,78.0,39.78546307151231,39.0,39.78546307151231,38.0
1925487__837_38__0_1_3__398360463.tgf,837,19257,46.01433691756272,44.0,23.00716845878136,22.0,23.00716845878136,22.0
7663198__583_1__0_1_1__539330174.tgf,583,170189,583.8387650085763,582.0,291.91938250428814,291.0,291.91938250428814,293.0
3203497__489_1__0_1_1__-696922705.tgf,489,119558,488.98977505112475,490.0,244.49488752556238,245.0,244.49488752556238,244.0
2920382__996_26__0_1_1__1797378811.tgf,996,32649,65.56024096385542,66.0,32.78012048192771,33.0,32.78012048192771,32.0
g_832400__3589__1_1_1__53785996.tgf,3589,129312,72.06018389523544,70.0,36.03009194761772,35.0,36.03009194761772,35.0
g_118687__2223__1_1_1__420333329.tgf,2223,49564,44.591992802519115,44.0,22.295996401259558,22.0,22.295996401259558,22.0
g_40400__1866__1_1_1__2110861149.tgf,1866,35042,37.558413719185424,36.0,18.779206859592712,18.0,18.779206859592712,18.0
g_744390__3740__1_1_1__867341271.tgf,3740,140457,75.11069518716577,74.0,37.55534759358289,37.0,37.55534759358289,37.0
g_225058__2636__1_1_1__233605874.tgf,2636,68860,52.24582701062216,52.0,26.12291350531108,26.0,26.12291350531108,26.0
g_108578__1880__1_1_1__1927273238.tgf,1880,35559,37.82872340425532,36.0,18.91436170212766,18.0,18.91436170212766,18.0
g_326740__2846__1_1_1__856847380.tgf,2846,81536,57.2986647926915,56.0,28.64933239634575,28.0,28.64933239634575,29.0
g_316863__2943__1_1_1__1909914641.tgf,2943,86636,58.87597689432552,58.0,29.43798844716276,29.0,29.43798844716276,29.0
g_236028__2696__1_1_1__1295870562.tgf,2696,72802,54.00741839762611,54.0,27.003709198813056,27.0,27.003709198813056,26.0
g_482638__3144__1_1_1__1117360409.tgf,3144,98869,62.89376590330789,62.0,31.446882951653944,31.0,31.446882951653944,31.0
g_40398__1624__1_1_1__1406182594.tgf,1624,26592,32.748768472906406,32.0,16.374384236453203,16.0,16.374384236453203,16.0
g_37710__1278__1_1_1__1301640185.tgf,1278,16335,25.56338028169014,24.0,12.78169014084507,12.0,12.78169014084507,12.0
g_244898__2743__1_1_1__1043095631.tgf,2743,75085,54.746627779803134,54.0,27.373313889901567,27.0,27.373313889901567,27.0
g_101552__1909__1_1_1__882760067.tgf,1909,36680,38.428496595075956,38.0,19.214248297537978,19.0,19.214248297537978,19.0
g_1524167__4166__1_1_1__1420739094.tgf,4166,172890,83.0004800768123,82.0,41.50024003840615,41.0,41.50024003840615,41.0
g_962561__3713__1_1_1__853528170.tgf,3713,138560,74.63506598437921,74.0,37.317532992189605,37.0,37.317532992189605,37.0
g_34388__1224__1_1_1__1618570817.tgf,1224,14843,24.25326797385621,24.0,12.126633986928105,12.0,12.126633986928105,12.0
g_169985__2033__1_1_1__1063588833.tgf,2033,41433,40.76045253320216,40.0,20.38022626660108,20.0,20.38022626660108,20.0
g_808769__3600__1_1_1__1535552993.tgf,3600,129579,71.98833333333333,70.0,35.994166666666665,35.0,35.994166666666665,36.0
g_844869__3737__1_1_1__328671792.tgf,3737,140189,75.02756221568103,74.0,37.513781107840515,37.0,37.513781107840515,37.0
g_325485__2631__1_1_1__1679363424.tgf,2631,68937,52.403648802736605,52.0,26.201824401368302,26.0,26.201824401368302,26.0
g_37371__1315__1_1_1__13936662.tgf,1315,17303,26.31634980988593,26.0,13.158174904942966,13.0,13.158174904942966,13.0
g_483143__2797__1_1_1__1544035168.tgf,2797,78550,56.16732213085449,54.0,28.083661065427243,27.0,28.083661065427243,28.0
g_139216__2511__1_1_1__394551800.tgf,2511,62774,49.999203504579846,48.0,24.999601752289923,24.0,24.999601752289923,25.0
g_265502__2684__1_1_1__1461484505.tgf,2684,72330,53.89716840536513,54.0,26.948584202682564,27.0,26.948584202682564,27.0
g_207507__2450__1_1_1__826439536.tgf,2450,60103,49.06367346938776,48.0,24.53183673469388,24.0,24.53183673469388,24.0
g_6019610__3955__1_1_1__214137286.tgf,3955,155847,78.81011378002529,78.0,39.405056890012645,39.0,39.405056890012645,39.0
g_5128808__6017__1_1_1__145329534.tgf,6017,362089,120.355326574705,120.0,60.1776632873525,60.0,60.1776632873525,60.0
g_729345__3994__1_1_1__1531626234.tgf,3994,159764,80.00200300450676,78.0,40.00100150225338,39.0,40.00100150225338,39.0
g_3678842__4959__1_1_1__2055741360.tgf,4959,246124,99.26356120185521,98.0,49.631780600927605,49.0,49.631780600927605,49.0
g_2002351__4827__1_1_1__520355813.tgf,4827,232221,96.21752641392169,96.0,48.108763206960845,48.0,48.108763206960845,48.0
g_5749572__6546__1_1_1__1725921591.tgf,6546,429233,131.14359914451575,130.0,65.57179957225787,65.0,65.57179957225787,65.0
g_790881__3168__1_1_1__1563089851.tgf,3168,100296,63.31818181818182,62.0,31.65909090909091,31.0,31.65909090909091,31.0
g_264197__3005__1_1_1__1585216394.tgf,3005,90595,60.296173044925126,60.0,30.148086522462563,30.0,30.148086522462563,29.0
g_75150__1152__1_1_1__199409038.tgf,1152,13462,23.37152777777778,22.0,11.68576388888889,11.0,11.68576388888889,11.0
g_1977497__4459__1_1_1__193203519.tgf,4459,198869,89.19892352545413,88.0,44.59946176272707,44.0,44.59946176272707,44.0
g_759604__3954__1_1_1__1196312685.tgf,3954,156417,79.11836115326251,78.0,39.559180576631256,39.0,39.559180576631256,39.0
g_4801850__5900__1_1_1__1507270746.tgf,5900,347209,117.69796610169492,116.0,58.84898305084746,58.0,58.84898305084746,58.0
g_1969886__3896__1_1_1__407768342.tgf,3896,151631,77.83932238193019,78.0,38.919661190965094,39.0,38.919661190965094,39.0
g_70742__1937__1_1_1__1601993606.tgf,1937,37706,38.93236964377904,38.0,19.46618482188952,19.0,19.46618482188952,19.0
g_171985__2219__1_1_1__1463560817.tgf,2219,49363,44.491212257773775,44.0,22.245606128886887,22.0,22.245606128886887,22.0
g_5000211__4470__1_1_1__750147053.tgf,4470,200631,89.76778523489934,90.0,44.88389261744967,45.0,44.88389261744967,45.0
g_940038__2085__1_1_1__1707795058.tgf,2085,43487,41.71414868105516,40.0,20.85707434052758,20.0,20.85707434052758,20.0
g_4035622__3478__1_1_1__368871344.tgf,3478,121418,69.8205865439908,70.0,34.9102932719954,35.0,34.9102932719954,34.0
g_60552__1945__1_1_1__119920177.tgf,1945,37978,39.051928020565555,38.0,19.525964010282777,19.0,19.525964010282777,19.0
g_6197551__5257__1_1_1__808442397.tgf,5257,276165,105.0656267833365,104.0,52.53281339166825,52.0,52.53281339166825,52.0
g_2036748__4685__1_1_1__764816800.tgf,4685,218638,93.33532550693704,92.0,46.66766275346852,46.0,46.66766275346852,46.0
g_179080__2838__1_1_1__924555467.tgf,2838,80423,56.67582804792107,56.0,28.337914023960536,28.0,28.337914023960536,28.0
37400__332_4__0_1_1__887372887.tgf,332,14513,87.42771084337349,88.0,43.713855421686745,44.0,43.713855421686745,43.0
82512__381_23__0_1_2__691831635.tgf,381,5583,29.30708661417323,28.0,14.653543307086615,14.0,14.653543307086615,14.0
286424__242_98__0_4_496__1553772169.tgf,242,1439,11.892561983471074,12.0,5.946280991735537,6.0,5.946280991735537,6.0
46469__330_28__0_1_2__725501891.tgf,330,3626,21.975757575757576,22.0,10.987878787878788,11.0,10.987878787878788,11.0
520734__379_68__0_8_768__2107883474.tgf,379,3796,20.03166226912929,20.0,10.015831134564644,10.0,10.015831134564644,10.0
65980__360_21__0_2_8__310170226.tgf,360,5298,29.433333333333334,26.0,14.716666666666667,13.0,14.716666666666667,15.0
41950__379_9__0_2_4__-2085298152.tgf,379,9350,49.340369393139845,52.0,24.670184696569923,26.0,24.670184696569923,24.0
70292__374_23__0_1_10__-2122175794.tgf,374,4998,26.727272727272727,24.0,13.363636363636363,12.0,13.363636363636363,13.0
33018__260_52__0_6_28__-2091790553.tgf,260,1878,14.446153846153846,14.0,7.223076923076923,7.0,7.223076923076923,7.0
47792__332_20__0_3_51__-684630010.tgf,332,4437,26.728915662650603,26.0,13.364457831325302,13.0,13.364457831325302,13.0
58982__360_22__0_2_4__-561223781.tgf,360,5332,29.622222222222224,28.0,14.811111111111112,14.0,14.811111111111112,14.0
63423__285_21__0_4_180__433734015.tgf,285,3010,21.12280701754386,20.0,10.56140350877193,10.0,10.56140350877193,10.0
110153__319_75__0_3_152__-1738801068.tgf,319,2506,15.711598746081505,14.0,7.855799373040752,7.0,7.855799373040752,7.0
38100__318_28__0_1_4__1062613426.tgf,318,3357,21.11320754716981,20.0,10.556603773584905,10.0,10.556603773584905,10.0
49594__306_89__0_1_4__-1039493399.tgf,306,2236,14.61437908496732,14.0,7.30718954248366,7.0,7.30718954248366,7.0
118030__334_37__0_7_162__390956103.tgf,334,3296,19.736526946107784,19.0,9.868263473053892,9.5,9.868263473053892,10.0
105005__283_61__0_2_288__1501667607.tgf,283,2147,15.173144876325088,14.0,7.586572438162544,7.0,7.586572438162544,7.0
67150__185_93__0_2_200__1061677976.tgf,185,875,9.45945945945946,8.0,4.72972972972973,4.0,4.72972972972973,4.0
33735__217_52__0_4_48__1468519206.tgf,217,1663,15.327188940092165,14.0,7.663594470046083,7.0,7.663594470046083,7.0
67628__291_89__0_1_30__-246384798.tgf,291,2151,14.783505154639176,14.0,7.391752577319588,7.0,7.391752577319588,7.0
85888__366_28__0_3_28__1701112791.tgf,366,4566,24.950819672131146,24.0,12.475409836065573,12.0,12.475409836065573,12.0
37008__308_6__0_1_1__1700102015.tgf,308,9849,63.95454545454545,62.0,31.977272727272727,31.0,31.977272727272727,31.0
195170__397_76__0_1_14__1011580274.tgf,397,4012,20.211586901763223,20.0,10.105793450881611,10.0,10.105793450881611,10.0
162947__189_100__0_1_800__-2139321847.tgf,189,983,10.402116402116402,10.0,5.201058201058201,5.0,5.201058201058201,5.0
1187240__311_65__0_5_3916__1661971321.tgf,311,2841,18.270096463022508,16.0,9.135048231511254,8.0,9.135048231511254,9.0
176618__243_1__0_1_1__-528315330.tgf,243,29366,241.6954732510288,242.0,120.8477366255144,121.0,120.8477366255144,120.0
149836__393_63__0_2_44__1706985912.tgf,393,4071,20.717557251908396,20.0,10.358778625954198,10.0,10.358778625954198,10.0
940270__703_28__0_1_2__1173096395.tgf,703,16700,47.51066856330014,44.0,23.75533428165007,22.0,23.75533428165007,22.0
619832__652_13__0_1_2__-650582955.tgf,652,25347,77.75153374233129,72.0,38.875766871165645,36.0,38.875766871165645,36.0
971739__757_14__0_1_1__1361260072.tgf,757,29035,76.7107001321004,78.0,38.3553500660502,39.0,38.3553500660502,37.0
177161__455_4__0_1_3__-1069061722.tgf,455,28396,124.81758241758241,126.0,62.40879120879121,63.0,62.40879120879121,63.0
604344__458_39__0_8_1297__1654901794.tgf,458,5947,25.96943231441048,24.0,12.98471615720524,12.0,12.98471615720524,12.0
153111__499_16__0_4_18__-1668271218.tgf,499,11808,47.326653306613224,46.0,23.663326653306612,23.0,23.663326653306612,23.0
517683__679_12__0_1_4__1310307751.tgf,679,26096,76.8659793814433,76.0,38.43298969072165,38.0,38.43298969072165,37.0
826149__351_1__0_1_1__-2107104421.tgf,351,61199,348.7122507122507,348.0,174.35612535612535,174.0,174.35612535612535,174.0
853046__696_686__8_8_27__1212478239.tgf,696,736,2.1149425287356323,2.0,1.0574712643678161,1.0,1.0574712643678161,0.0
1066801__777_18__0_4_9__1685411540.tgf,777,11792,30.35263835263835,30.0,15.176319176319176,15.0,15.176319176319176,14.0
176544__442_39__0_2_6__-1119795536.tgf,442,5634,25.493212669683256,24.0,12.746606334841628,12.0,12.746606334841628,12.0
147754__315_2__2_2_4__2000466022.tgf,315,27352,173.66349206349207,182.0,86.83174603174604,91.0,86.83174603174604,87.0
515617__417_50__0_3_1011__-972170922.tgf,417,4671,22.402877697841728,22.0,11.201438848920864,11.0,11.201438848920864,10.0
548783__649_27__0_1_1__-724323804.tgf,649,14109,43.47919876733436,42.0,21.73959938366718,21.0,21.73959938366718,21.0
1004485__826_8__0_1_4__-1244770945.tgf,826,50446,122.1452784503632,112.0,61.0726392251816,56.0,61.0726392251816,61.0
507634__636_34__0_3_20__2007880049.tgf,636,11867,37.31761006289308,36.0,18.65880503144654,18.0,18.65880503144654,17.0
1251262__780_20__0_1_2__-81345856.tgf,780,25676,65.83589743589744,64.0,32.91794871794872,32.0,32.91794871794872,32.5
141744__500_14__0_1_1__1497926930.tgf,500,12114,48.456,46.0,24.228,23.0,24.228,24.0
874460__733_24__0_2_9__2021310947.tgf,733,19049,51.97544338335607,50.0,25.987721691678036,25.0,25.987721691678036,25.0
1182638__754_34__0_1_2__188042652.tgf,754,17115,45.39787798408488,44.0,22.69893899204244,22.0,22.69893899204244,21.0
725443__490_2__0_1_1__-554970472.tgf,490,66224,270.30204081632655,268.0,135.15102040816328,134.0,135.15102040816328,134.0
